"","NAME","US.Territory.Region","Obesity","Region","LineCode","Description","X2023.Q1","Population.2022","McDonald.s","Starbucks","Chick.fill.A","Taco.Bell","Wendy.s","Dunkin.Donuts","Burger.King","Subway","Domino.s","Chipotle","Sonic..Drive.In","Pizza.Hut","Panda.Express","KFC","Dairy.Queen","Arby.s","Buffalo.Wild.Wings","Whataburger","Five.Guys","In.N.Out.Burger","GDP_Category"
"13","California","West",24.2,8,3,"Current-dollar GDP (millions of current dollars) ",3755486.5,39029342,"1264",2821,167,872,293,134,583,2110,553,457,80,560,600,482,76,83,96,0,124,267,"High GDP"
"128","Texas","Southwest",32.4,6,3,"Current-dollar GDP (millions of current dollars) ",2436345.6,30029572,"1,189 ",1042,460,692,460,196,531,1874,667,281,956,922,310,329,584,168,120,284,68,41,"High GDP"
"96","New York","Northeast",25,2,3,"Current-dollar GDP (millions of current dollars) ",2135672,19677151,"603",645,36,248,230,1414,334,800,233,200,20,156,17,177,43,67,38,0,88,0,"High GDP"
"25","Florida","Southeast",26.8,5,3,"Current-dollar GDP (millions of current dollars) ",1468015.3,22244823,"902",694,226,470,540,883,561,1254,408,222,100,469,118,285,154,167,52,18,120,0,"High GDP"
"37","Illinois","Midwest",30.8,3,3,"Current-dollar GDP (millions of current dollars) ",1071551.5,12582032,"659",575,60,288,200,692,304,954,203,158,50,201,112,155,250,125,83,0,41,0,"High GDP"
"113","Pennsylvania","Northeast",30,2,3,"Current-dollar GDP (millions of current dollars) ",961945.6,12972008,"486",357,96,202,261,629,273,670,230,120,22,201,17,128,180,140,29,0,65,0,"High GDP"
"103","Ohio","Midwest",29.8,3,3,"Current-dollar GDP (millions of current dollars) ",852902.6,11756058,"608",378,75,397,406,245,338,983,257,229,37,291,52,200,256,279,95,0,63,0,"High GDP"
"30","Georgia","Southeast",30.7,5,3,"Current-dollar GDP (millions of current dollars) ",792151.1,10912876,"446",326,243,262,298,265,260,732,223,94,94,251,71,153,208,154,37,1,56,0,"High GDP"
"88","New Jersey","Northeast",25.6,2,3,"Current-dollar GDP (millions of current dollars) ",776923.1,9261699,"258",261,55,116,145,866,192,186,160,87,15,79,22,61,73,12,19,0,49,0,"High GDP"
"97","North Carolina","Southeast",30.1,5,3,"Current-dollar GDP (millions of current dollars) ",762865.6,10698973,"482",338,179,264,264,206,244,700,283,79,79,251,27,198,88,147,34,0,45,0,"High GDP"
