GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "00000","United States", ,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",14767846.0,14839707.0,14956291.0,15041232.0,15244088.0,15281525.0,15304517.0,15433643.0,15478956.0,15577779.0,15671605.0,15767146.0,15702906.0,15792773.0,15709562.0,15366607.0,15187475.0,15161772.0,15216647.0,15379155.0,15456059.0,15605628.0,15726282.0,15807995.0,15769911.0,15876839.0,15870684.0,16048702.0,16179968.0,16253726.0,16282151.0,16300035.0,16441485.0,16464402.0,16594743.0,16712760.0,16654247.0,16868109.0,17064616.0,17141235.0,17280647.0,17380875.0,17437080.0,17462579.0,17565465.0,17618581.0,17724489.0,17812560.0,17889094.0,17979218.0,18127994.0,18310300.0,18437127.0,18565697.0,18699748.0,18733741.0,18835411.0,18962175.0,19130932.0,19215691.0,18989877.0,17378712.0,18743720.0,18924262.0,19216224.0,19544248.0,19672594.0,20006181.0,19924088.0,19895271.0,20054663.0,20182491.0,20282760.0
 "00000","United States", ,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.857,91.299,92.016,92.539,93.787,94.017,94.159,94.953,95.232,95.840,96.417,97.005,96.610,97.163,96.651,94.541,93.439,93.280,93.618,94.618,95.091,96.011,96.753,97.256,97.022,97.680,97.642,98.737,99.545,99.999,100.173,100.283,101.154,101.295,102.097,102.823,102.463,103.778,104.987,105.459,106.316,106.933,107.279,107.436,108.069,108.396,109.047,109.589,110.060,110.614,111.530,112.651,113.432,114.223,115.047,115.256,115.882,116.662,117.700,118.222,116.832,106.920,115.318,116.429,118.225,120.243,121.033,123.085,122.580,122.403,123.383,124.170,124.786
 "00000","United States", ,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",12767286.0,12922656.0,13142642.0,13324204.0,13599160.0,13753424.0,13870188.0,14039560.0,14215651.0,14402082.0,14564117.0,14715058.0,14706538.0,14865701.0,14898999.0,14608208.0,14430901.0,14381236.0,14448882.0,14651248.0,14764611.0,14980193.0,15141605.0,15309471.0,15351444.0,15557535.0,15647681.0,15842267.0,16068824.0,16207130.0,16319540.0,16420386.0,16629050.0,16699551.0,16911068.0,17133114.0,17144281.0,17462703.0,17743227.0,17852540.0,17991348.0,18193707.0,18306960.0,18332079.0,18425306.0,18611617.0,18775459.0,18968041.0,19148194.0,19304506.0,19561896.0,19894750.0,20155486.0,20470197.0,20687278.0,20819269.0,21013085.0,21272448.0,21531839.0,21706532.0,21538032.0,19636731.0,21362428.0,21704706.0,22313850.0,23046934.0,23550420.0,24349121.0,24740480.0,25248476.0,25723941.0,26137992.0,26529774.0
 "01000","Alabama",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",182600.4,184625.7,184134.9,186116.9,186539.0,187489.6,187442.8,187611.6,187376.1,188746.2,189934.1,189953.7,188933.9,189288.6,187535.2,182028.9,180072.9,180406.4,180990.1,181359.2,181276.7,183649.6,187004.4,186878.9,185740.7,186746.9,187669.2,190266.5,190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,193112.6,194227.5,194380.5,195414.6,196339.2,196230.9,196784.7,198544.8,199763.1,200149.4,200286.4,201291.6,202118.2,202918.2,204228.6,204465.8,204004.9,186912.4,204205.1,204400.7,207001.8,209857.1,210029.1,213029.2,212789.5,212311.6,212946.3,215011.6,215084.4
 "01000","Alabama",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.489,97.559,97.299,98.347,98.570,99.072,99.047,99.137,99.012,99.736,100.364,100.374,99.835,100.023,99.096,96.187,95.153,95.329,95.638,95.833,95.789,97.043,98.816,98.749,98.148,98.680,99.167,100.540,100.440,100.682,99.563,99.315,101.405,100.955,101.591,100.539,99.087,100.382,100.967,100.919,100.335,101.210,101.534,101.338,102.043,102.633,102.713,103.260,103.748,103.691,103.984,104.914,105.558,105.762,105.834,106.365,106.802,107.225,107.917,108.043,107.799,98.767,107.905,108.008,109.383,110.891,110.982,112.568,112.441,112.188,112.524,113.615,113.654
 "01000","Alabama",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",155702.7,158097.7,159237.5,162349.4,163922.4,166060.1,167426.9,168466.7,169991.5,172482.7,174468.8,174957.8,174508.1,175783.0,175791.0,172023.1,170326.7,170239.2,170973.3,172184.3,172778.3,175855.6,179801.4,180561.3,180499.3,182689.4,185011.7,187466.1,188424.6,190053.1,189027.2,189477.2,194124.9,193786.5,195890.8,195345.5,193282.5,196937.5,199296.5,200110.9,199782.1,202344.6,203858.1,203504.8,204691.9,207129.8,207694.5,209957.3,212297.4,212991.0,214826.3,218310.5,221086.3,223366.2,224329.3,226655.5,228676.3,230521.9,233042.0,234007.4,234320.7,214635.2,236544.9,238067.4,244364.0,251708.4,256089.6,264277.0,269436.4,275396.0,280219.7,286217.8,289037.9
 "02000","Alaska",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",45176.1,45776.9,45501.7,46173.5,47346.6,48911.2,49486.7,51016.2,51384.8,52275.8,52106.7,51116.5,49885.8,48777.2,50833.6,55511.7,57551.9,56989.5,55545.6,54773.5,53479.1,54794.8,55173.0,54959.1,53410.9,54642.5,55356.9,57711.1,57685.0,59227.9,58744.5,57477.2,56769.5,54798.0,55176.3,54673.4,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,55065.2,54197.5,53849.2,53874.6,54049.9,54133.8,54771.1,54159.9,53587.9,53171.0,53245.9,53303.1,53136.3,53072.5,53940.9,53585.5,53030.0,48540.1,50181.2,51069.4,50690.3,50707.9,50935.9,51143.5,49070.4,48963.4,49999.1,50501.7,50700.8
 "02000","Alaska",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.511,78.542,78.069,79.222,81.235,83.919,84.907,87.531,88.163,89.692,89.402,87.703,85.592,83.689,87.218,95.244,98.745,97.780,95.302,93.977,91.757,94.014,94.663,94.296,91.640,93.753,94.978,99.018,98.973,101.620,100.791,98.616,97.402,94.020,94.669,93.806,92.274,92.673,93.117,93.829,94.727,93.766,93.613,93.579,94.478,92.989,92.392,92.435,92.736,92.880,93.973,92.925,91.943,91.228,91.357,91.455,91.169,91.059,92.549,91.939,90.986,83.283,86.098,87.622,86.972,87.002,87.393,87.749,84.192,84.009,85.786,86.648,86.990
 "02000","Alaska",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",37792.5,39198.7,40905.2,43529.9,43276.9,45016.6,45700.4,46382.5,47104.0,49415.8,50222.5,51592.7,52863.3,56284.1,57741.4,53601.1,50804.3,49588.2,48973.7,50464.9,51903.8,52922.5,53903.5,54596.6,54492.2,57059.1,57102.2,58932.0,58499.4,58652.9,58301.9,57680.4,57879.2,56608.4,57823.3,56679.9,56871.6,57354.7,56748.9,54964.6,52146.2,52193.5,51181.2,50442.7,49864.8,50542.3,50843.4,51660.1,52670.5,52777.7,53574.5,54183.3,54440.2,54658.8,55240.4,55259.0,54461.6,54522.3,55034.3,54894.8,53160.4,46625.7,49944.3,52170.4,53840.1,56150.0,58248.7,61158.8,60944.2,64256.6,65130.3,64140.8,63750.2
 "04000","Arizona",6,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",256521.4,260884.6,265619.7,266278.2,271247.2,271897.9,275090.9,278481.7,279269.0,282276.6,285827.2,285630.2,285356.3,285017.1,281661.6,271205.2,261774.7,256640.0,254266.1,257313.1,255010.4,259202.3,262030.2,264985.6,263630.3,264532.0,265432.6,270811.2,270945.9,272153.0,271149.3,271511.9,272653.7,272500.2,273546.4,275227.2,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,286940.7,289953.3,293674.5,294532.4,299029.1,300828.8,306349.5,308216.8,312663.6,313425.3,316005.5,317215.3,320391.8,323022.0,327457.6,330709.7,328587.6,310250.0,331692.4,338182.1,339659.7,344936.2,348706.0,357322.0,355309.3,353565.6,356966.0,359827.3,362191.9
