State,Population 2022,McDonald's,Starbucks,Chick-fill-A,Taco Bell,Wendy's,Dunkin Donuts,Burger King,Subway,Domino's,Chipotle,Sonic  Drive-In,Pizza Hut,Panda Express,KFC,Dairy Queen,Arby's,Buffalo Wild Wings,Whataburger,Five Guys,In-N-Out Burger
Alabama,5074296,245,85,87,152,101,59,164,400,123,23,108,144,29,92,65,99,25,13,28,0
Alaska,733583,31,49,0,15,10,0,8,54,10,0,3,10,6,8,5,9,1,0,0,0
Arizona,7359197,284,488,45,190,101,102,163,395,116,92,92,153,115,76,110,63,27,4,34,34
Arkansas,3045637,172,55,35,119,67,9,80,250,66,9,194,94,11,60,36,48,9,12,6,0
California,39029342,1264,2821,167,872,293,134,583,2110,553,457,80,560,600,482,76,83,96,0,124,267
Colorado,5839926,207,481,55,162,132,43,123,356,132,80,80,121,55,83,79,74,29,1,30,7
Connecticut,3626205,143,123,12,54,52,480,65,279,53,34,6,20,2,42,39,5,10,0,25,0
Delaware,1018396,36,25,15,19,12,66,20,24,26,11,1,8,6,13,13,15,6,0,9,0
Florida,22244823,902,694,226,470,540,883,561,1254,408,222,100,469,118,285,154,167,52,18,120,0
Georgia,10912876,446,326,243,262,298,265,260,732,223,94,94,251,71,153,208,154,37,1,56,0
Hawaii,1440196,73,99,0,31,11,6,31,100,23,0,0,37,34,17,6,2,4,0,3,0
Idaho,1939033,63,67,10,34,32,0,35,121,43,5,21,39,24,15,25,23,8,0,8,0
Illinois,12582032,659,575,60,288,200,692,304,954,203,158,50,201,112,155,250,125,83,0,41,0
Indiana,6833037,350,221,48,256,185,104,192,564,114,48,24,202,42,130,203,176,55,0,33,0
Iowa,3200517,145,89,15,54,41,34,82,269,41,10,10,83,16,45,102,58,18,0,8,0
Kansas,2937150,149,94,23,96,70,28,67,214,44,37,135,166,23,39,63,59,15,0,14,0
Kentucky,4512310,250,116,47,166,148,41,98,365,94,26,68,122,16,114,137,111,21,0,14,0
Louisiana,4590241,237,84,54,136,123,16,163,421,107,11,169,159,15,38,34,31,16,7,15,0
Maine,1385340,62,30,2,20,16,159,34,103,26,6,0,16,1,18,22,4,4,0,7,0
Maryland,6164660,284,257,84,101,96,303,126,404,121,107,15,103,40,68,28,45,20,0,60,0
Massachusetts,6981974,234,273,18,77,94,1068,122,297,131,69,4,36,6,51,32,2,10,0,47,0
Michigan,10034113,539,283,25,320,244,105,306,776,130,53,18,133,23,163,155,178,61,0,34,0
Minnesota,5717184,226,184,26,94,54,34,126,408,130,74,5,111,7,41,222,75,30,0,23,0
Mississippi,2940057,140,32,39,88,95,12,83,282,71,6,124,104,47,71,27,32,13,8,8,0
Missouri,6177957,313,188,42,234,107,50,123,460,147,44,186,203,7,86,105,87,30,1,27,0
Montana,1122867,48,36,3,25,17,0,21,74,22,4,2,33,7,18,35,12,7,0,5,0
Nebraska,1967923,77,58,11,43,28,23,66,175,27,16,28,71,12,24,53,45,11,0,4,0
Nevada,3177772,142,253,17,84,46,38,67,183,55,34,25,76,68,44,18,25,11,0,9,22
New Hampshire,1395231,54,29,3,19,23,218,30,82,29,12,0,13,1,13,12,2,5,0,13,0
New Jersey,9261699,258,261,55,116,145,866,192,186,160,87,15,79,22,61,73,12,19,0,49,0
New Mexico,2113344,107,76,15,61,41,19,50,158,61,11,74,53,22,43,34,28,13,4,7,0
New York,19677151,603,645,36,248,230,1414,334,800,233,200,20,156,17,177,43,67,38,0,88,0
North Carolina,10698973,482,338,179,264,264,206,244,700,283,79,79,251,27,198,88,147,34,0,45,0
North Dakota,779261,24,13,4,12,8,0,21,65,16,3,3,15,5,9,41,11,8,0,6,0
Ohio,11756058,608,378,75,397,406,245,338,983,257,229,37,291,52,200,256,279,95,0,63,0
Oklahoma,4019800,206,79,47,126,60,18,57,314,75,14,271,133,28,69,19,89,20,18,10,0
Oregon,4240137,160,359,10,120,39,0,87,266,80,40,14,47,48,52,96,34,10,0,21,4
Pennsylvania,12972008,486,357,96,202,261,629,273,670,230,120,22,201,17,128,180,140,29,0,65,0
Rhode Island,1093734,31,27,2,15,17,160,27,63,26,12,2,4,1,16,2,0,2,0,6,0
South Carolina,5282634,227,131,97,125,137,103,150,352,113,37,76,121,16,104,25,92,15,0,33,0
South Dakota,909824,30,25,3,16,7,0,27,87,17,2,4,30,2,9,42,20,6,0,3,0
Tennessee,7051339,328,180,93,236,177,123,179,559,157,39,228,166,47,134,82,126,26,1,34,0
Texas,30029572,"1,189 ",1042,460,692,460,196,531,1874,667,281,956,922,310,329,584,168,120,284,68,41
Utah,3380800,112,101,31,69,84,1,72,181,71,18,18,71,47,41,27,76,10,0,18,12
Vermont,647064,26,8,0,5,4,49,7,44,15,3,0,5,0,7,0,0,1,0,2,0
Virginia,8683619,401,432,134,218,223,230,204,598,222,122,53,209,54,117,87,106,41,0,78,0
Washington,7785786,259,757,20,150,81,19,119,509,152,61,20,108,69,84,98,57,15,0,31,0
West Virginia,1775156,104,25,22,67,71,27,60,166,41,9,7,132,3,41,70,43,11,0,6,0
Wisconsin,5892539,297,145,19,146,59,83,115,494,105,26,2,51,23,73,125,94,31,0,17,0
Wyoming,581381,28,23,1,14,14,1,18,60,22,1,6,29,2,7,10,16,3,0,2,0
